# Region      : all region0
# Cells       : 3744
# Volume      : 5.645150e-06
# Time        	volAverage(gamma)
0.88047       	7.412969e-02
3.86707       	1.417456e-01
5.09531       	1.454496e-01
5.90985       	1.460679e-01
6.51394       	1.463383e-01
7.02901       	1.465820e-01
7.5082        	1.468034e-01
7.96591       	1.475197e-01
8.41042       	1.477775e-01
8.84806       	1.480031e-01
9.27851       	1.482302e-01
9.69396       	1.484534e-01
10.1009       	1.486748e-01
10.5024       	1.488951e-01
10.9015       	1.491148e-01
11.2989       	1.493350e-01
11.7094       	1.500163e-01
12.1412       	1.502480e-01
12.5584       	1.504784e-01
12.9656       	1.511134e-01
13.3666       	1.514466e-01
13.7631       	1.517805e-01
14.146        	1.519989e-01
14.5015       	1.521938e-01
14.8504       	1.523803e-01
15.2112       	1.527800e-01
15.5952       	1.531980e-01
16.0085       	1.539847e-01
16.4223       	1.547212e-01
16.8958       	1.551717e-01
17.3615       	1.557126e-01
17.8205       	1.561432e-01
18.3063       	1.564659e-01
18.7855       	1.567740e-01
19.2874       	1.571140e-01
19.7793       	1.573861e-01
20.2595       	1.576577e-01
20.7397       	1.581287e-01
21.1969       	1.586527e-01
21.6391       	1.597600e-01
22.0645       	1.600066e-01
22.492        	1.604899e-01
22.9107       	1.613419e-01
23.3275       	1.619262e-01
23.7651       	1.625627e-01
24.2383       	1.627380e-01
24.7221       	1.632201e-01
25.2128       	1.642877e-01
25.7254       	1.653565e-01
26.2517       	1.658128e-01
26.776        	1.666327e-01
27.2978       	1.680468e-01
27.8126       	1.702166e-01
28.328        	1.714386e-01
28.8324       	1.724591e-01
29.3084       	1.727996e-01
29.7703       	1.738914e-01
30.2237       	1.741730e-01
30.6649       	1.744332e-01
31.1036       	1.746770e-01
31.5423       	1.754195e-01
31.9853       	1.757370e-01
32.4334       	1.760085e-01
32.8871       	1.771917e-01
33.3489       	1.776812e-01
33.8388       	1.781802e-01
34.3576       	1.785268e-01
34.865        	1.790916e-01
35.35         	1.793805e-01
35.8166       	1.796767e-01
36.276        	1.799552e-01
36.7293       	1.805936e-01
37.1934       	1.809027e-01
37.6701       	1.811882e-01
38.127        	1.814698e-01
38.5716       	1.817482e-01
39.0197       	1.824778e-01
39.4819       	1.832511e-01
39.9237       	1.839416e-01
40.3415       	1.851953e-01
40.7506       	1.854335e-01
41.1637       	1.864399e-01
41.586        	1.868234e-01
42.0187       	1.870774e-01
42.4656       	1.875994e-01
42.9197       	1.881307e-01
43.3772       	1.886865e-01
43.8244       	1.889644e-01
44.2801       	1.892569e-01
44.7462       	1.900976e-01
45.238        	1.909118e-01
45.7437       	1.913810e-01
46.2682       	1.920516e-01
46.7804       	1.924253e-01
47.272        	1.932409e-01
47.7259       	1.934850e-01
48.1481       	1.941886e-01
48.5525       	1.944058e-01
48.9469       	1.948964e-01
49.3294       	1.952121e-01
49.7034       	1.953890e-01
50.0724       	1.955663e-01
50.4268       	1.974115e-01
50.7626       	1.977408e-01
51.1076       	1.983160e-01
51.4561       	1.985109e-01
51.7992       	1.986983e-01
52.1324       	1.989270e-01
52.4644       	1.994179e-01
52.7981       	2.001362e-01
53.1172       	2.003146e-01
53.4415       	2.007236e-01
53.7936       	2.009241e-01
54.14         	2.012793e-01
54.4888       	2.015718e-01
54.8479       	2.017570e-01
55.2065       	2.019484e-01
55.569        	2.021422e-01
55.9319       	2.023303e-01
56.3104       	2.027991e-01
56.7178       	2.030431e-01
57.137        	2.032687e-01
57.5493       	2.038254e-01
57.9545       	2.040697e-01
58.3496       	2.042804e-01
58.7391       	2.046946e-01
59.1324       	2.048949e-01
59.531        	2.050994e-01
59.9301       	2.053038e-01
60.3369       	2.055696e-01
60.7356       	2.057702e-01
61.1048       	2.060535e-01
61.4427       	2.062250e-01
61.767        	2.063906e-01
62.0797       	2.065504e-01
62.389        	2.069706e-01
62.7177       	2.077609e-01
63.0511       	2.082499e-01
63.3851       	2.084455e-01
63.7129       	2.085943e-01
64.0239       	2.093483e-01
64.3205       	2.097981e-01
64.6165       	2.099938e-01
64.9376       	2.102152e-01
65.3043       	2.107467e-01
65.6948       	2.113430e-01
66.1177       	2.116642e-01
66.5675       	2.119208e-01
67.0176       	2.126869e-01
67.4587       	2.138221e-01
67.9055       	2.141886e-01
68.3456       	2.143879e-01
68.7606       	2.145386e-01
69.1532       	2.146569e-01
69.502        	2.147434e-01
69.834        	2.148839e-01
70.1632       	2.150302e-01
70.4815       	2.151803e-01
70.8037       	2.153411e-01
71.1178       	2.157367e-01
71.4252       	2.160617e-01
71.7292       	2.162491e-01
72.0348       	2.166813e-01
72.3412       	2.168443e-01
72.6513       	2.170017e-01
72.9611       	2.171518e-01
73.2667       	2.173056e-01
73.5684       	2.174592e-01
73.8604       	2.175395e-01
74.1493       	2.177026e-01
74.4686       	2.185106e-01
74.8276       	2.186669e-01
75.2048       	2.188773e-01
75.5878       	2.190935e-01
75.9802       	2.193157e-01
76.3936       	2.195484e-01
76.83         	2.197925e-01
77.2649       	2.202888e-01
77.7049       	2.208874e-01
78.1516       	2.216863e-01
78.5847       	2.230240e-01
78.991        	2.240567e-01
79.3755       	2.243878e-01
79.7461       	2.246897e-01
80.0927       	2.249108e-01
80.4183       	2.251291e-01
80.7322       	2.253326e-01
81.0386       	2.255300e-01
81.3399       	2.257029e-01
81.6372       	2.261287e-01
81.9349       	2.267051e-01
82.2335       	2.269946e-01
82.5317       	2.272065e-01
82.8222       	2.273672e-01
83.1119       	2.275252e-01
83.4045       	2.276883e-01
83.7129       	2.278915e-01
84.0372       	2.281685e-01
84.3592       	2.287686e-01
84.6802       	2.292590e-01
84.9991       	2.295217e-01
85.3195       	2.297062e-01
85.659        	2.299011e-01
86.0234       	2.303655e-01
86.4008       	2.305886e-01
86.7832       	2.310696e-01
87.1726       	2.322800e-01
87.5767       	2.326104e-01
88.0001       	2.327700e-01
88.4242       	2.330264e-01
88.8496       	2.336416e-01
89.2732       	2.346765e-01
89.6933       	2.349531e-01
90.0972       	2.351934e-01
90.4782       	2.354153e-01
90.8508       	2.361312e-01
91.2156       	2.375568e-01
91.5568       	2.377918e-01
91.8845       	2.379751e-01
92.1953       	2.384485e-01
92.4945       	2.390485e-01
92.787        	2.393744e-01
